District,Thana,SubOffice,Post Code
Dhaka,Uttara,Uttara Model TownTSO,1230
Faridpur,Alfadanga,Alfadanga,7870
Faridpur,Bhanga,Bhanga,7830
Faridpur,Boalmari,Boalmari,7860
Faridpur,Boalmari,Rupatpat,7861
Faridpur,Charbhadrasan,Charbadrashan,7810
Faridpur,Faridpur Sadar,Ambikapur,7802
Faridpur,Faridpur Sadar,Baitulaman Politecni,7803
Faridpur,Faridpur Sadar,Faridpursadar,7800
Faridpur,Faridpur Sadar,Kanaipur,7801
Faridpur,Madukhali,Kamarkali,7851
Faridpur,Madukhali,Madukhali,7850
Faridpur,Nagarkanda,Nagarkanda,7840
Faridpur,Nagarkanda,Talma,7841
Faridpur,Sadarpur,Bishwa jaker Manjil,7822
Faridpur,Sadarpur,Hat Krishapur,7821
Faridpur,Sadarpur,Sadarpur,7820
Faridpur,Shriangan,Shriangan,7804
Gazipur,Gazipur Sadar,B.O.F,1703
Gazipur,Gazipur Sadar,B.R.R,1701
Gazipur,Gazipur Sadar,Chandna,1702
Gazipur,Gazipur Sadar,Gazipur Sadar,1700
Gazipur,Gazipur Sadar,National University,1704
Gazipur,Kaliakaar,Kaliakaar,1750
Gazipur,Kaliakaar,Safipur,1751
Gazipur,Kaliganj,Kaliganj,1720
Gazipur,Kaliganj,Pubail,1721
Gazipur,Kaliganj,Santanpara,1722
Gazipur,Kaliganj,Vaoal Jamalpur,1723
Gazipur,Kapashia,kapashia,1730
Gazipur,Monnunagar,Ershad Nagar,1712
Gazipur,Monnunagar,Monnunagar,1710
Gazipur,Turag,Nishat Nagar,1711
Gazipur,Sreepur,Barmi,1743
Gazipur,Sreepur,Bashamur,1747
Gazipur,Sreepur,Boubi,1748
Gazipur,Sreepur,Kawraid,1745
Gazipur,Sreepur,Satkhamair,1744
Gazipur,Sreepur,Sreepur,1740
Gazipur,Sripur,Tepirbari,1740
Gazipur,Sripur,Tengra,1740
Gazipur,Sripur,Rajendrapur,1741
Gazipur,Sripur,Rajendrapur Canttome,1742
Gopalganj,Gopalganj Sadar,Barfa,8102
Gopalganj,Gopalganj Sadar,Chandradighalia,8013
Gopalganj,Gopalganj Sadar,Gopalganj Sadar,8100
Gopalganj,Gopalganj Sadar,Ulpur,8101
Gopalganj,Kashiani,Jonapur,8133
Gopalganj,Kashiani,Kashiani,8130
Gopalganj,Kashiani,Ramdia College,8131
Gopalganj,Kashiani,Ratoil,8132
Gopalganj,Kotalipara,Kotalipara,8110
Gopalganj,Maksudpur,Batkiamari,8141
Gopalganj,Maksudpur,Khandarpara,8142
Gopalganj,Muksudpur,Muksudpur,8140
Gopalganj,Tungipara,Patgati,8121
Gopalganj,Tungipara,Tungipara,8120
Kishoreganj,Bajitpur,Bajitpur,2336
Kishoreganj,Kuliarchar,Laksmipur,2338
Kishoreganj,Bajitpur,Sararchar,2337
Kishoreganj,Bhairob,Bhairab,2350
Kishoreganj,Hossenpur,Hossenpur,2320
Kishoreganj,Itna,Itna,2390
Kishoreganj,Karimganj,Karimganj,2310
Kishoreganj,Katiadi,Gochhihata,2331
Kishoreganj,Katiadi,Katiadi,2330
Kishoreganj,Kishoreganj Sadar,Kishoreganj S.Mills,2301
Kishoreganj,Kishoreganj Sadar,Kishoreganj Sadar,2300
Kishoreganj,Kishoreganj Sadar,Maizhati,2302
Kishoreganj,Kishoreganj Sadar,Nilganj,2303
Kishoreganj,Kuliarchar,Chhoysuti,2341
Kishoreganj,Kuliarchar,Kuliarchar,2340
Kishoreganj,Mithamoin,Abdullahpur,2371
Kishoreganj,Mithamoin,MIthamoin,2370
Kishoreganj,Nikli,Nikli,2360
Kishoreganj,Ostagram,Ostagram,2380
Kishoreganj,Pakundia,Pakundia,2326
Kishoreganj,Tarial,Tarial,2316
Madaripur,Barhamganj,Bahadurpur,7932
Madaripur,Barhamganj,Barhamganj,7930
Madaripur,Barhamganj,Nilaksmibandar,7931
Madaripur,Barhamganj,Umedpur,7933
Madaripur,kalkini,Kalkini,7920
Madaripur,kalkini,Sahabrampur,7921
Madaripur,Madaripur Sadar,Charmugria,7901
Madaripur,Madaripur Sadar,Habiganj,7903
Madaripur,Madaripur Sadar,Kulpaddi,7902
Madaripur,Madaripur Sadar,Madaripur Sadar,7900
Madaripur,Madaripur Sadar,Mustafapur,7904
Madaripur,Rajoir,Khalia,7911
Madaripur,Rajoir,Rajoir,7910
Manikganj,Doulatpur,Doulatpur,1860
Manikganj,Ghior,Ghior,1840
Manikganj,Lechhraganj,Jhitka,1831
Manikganj,Lechhraganj,Lechhraganj,1830
Manikganj,Manikganj Sadar,Barangail,1804
Manikganj,Manikganj Sadar,Gorpara,1802
Manikganj,Manikganj Sadar,Mahadebpur,1803
Manikganj,Manikganj Sadar,Manikganj Bazar,1801
Manikganj,Manikganj Sadar,Manikganj Sadar,1800
Manikganj,Saturia,Baliati,1811
Manikganj,Saturia,Saturia,1810
Manikganj,Shibloya,Aricha,1851
Manikganj,Shibloya,Shibaloy,1850
Manikganj,Shibloya,Tewta,1852
Manikganj,Shibloya,Uthli,1853
Manikganj,Singari,Baira,1821
Manikganj,Singari,joymantop,1822
Manikganj,Singari,Singair,1820
Munshiganj,Gajaria,Gajaria,1510
Munshiganj,Gajaria,Hossendi,1511
Munshiganj,Gajaria,Rasulpur,1512
Munshiganj,Lohajong,Gouragonj,1334
Munshiganj,Lohajong,Gouragonj,1534
Munshiganj,Lohajong,Haldia SO,1532
Munshiganj,Lohajong,Haridia,1333
Munshiganj,Lohajong,Haridia DESO,1533
Munshiganj,Lohajong,Korhati,1531
Munshiganj,Lohajong,Lohajang,1530
Munshiganj,Lohajong,Madini Mandal,1335
Munshiganj,Lohajong,Medini Mandal EDSO,1535
Munshiganj,Munshiganj Sadar,Kathakhali,1503
Munshiganj,Munshiganj Sadar,Mirkadim,1502
Munshiganj,Munshiganj Sadar,Munshiganj Sadar,1500
Munshiganj,Munshiganj Sadar,Rikabibazar,1501
Munshiganj,Sirajdikhan,Ichapur,1542
Munshiganj,Sirajdikhan,Kola,1541
Munshiganj,Sirajdikhan,Malkha Nagar,1543
Munshiganj,Sirajdikhan,Shekher Nagar,1544
Munshiganj,Sirajdikhan,Sirajdikhan,1540
Munshiganj,Sreenagar,Baghra,1557
Munshiganj,Sreenagar,Rarikhal,1551
Munshiganj,Sreenagar,Bhaggyakul,1558
Munshiganj,Sreenagar,Hashara,1553
Munshiganj,Sreenagar,Kolapara,1554
Munshiganj,Sreenagar,Kumarbhog,1555
Munshiganj,Sreenagar,Maijpara,1552
Munshiganj,Sreenagar,Sreenagar,1550
Munshiganj,Sreenagar,Vaggyakul SO,1556
Munshiganj,Tangibari,Bajrajugini,1523
Munshiganj,Tangibari,Baligao,1522
Munshiganj,Tangibari,Betkahat,1521
Munshiganj,Tangibari,Dighirpar,1525
Munshiganj,Tangibari,Hasail,1524
Munshiganj,Tangibari,Pura,1527
Munshiganj,Tangibari,Pura EDSO,1526
Munshiganj,Tangibari,Tangibari,1520
Narayanganj,Araihazar,Araihazar,1450
Narayanganj,Sonargaon,Jampur,1460
Narayanganj,Araihazar,Gopaldi,1451
Narayanganj,Baidder Bazar,Baidder Bazar,1440
Narayanganj,Baidder Bazar,Bara Nagar,1441
Narayanganj,Baidder Bazar,Barodi,1442
Narayanganj,Bandar,Bandar,1410
Narayanganj,Bandar,BIDS,1413
Narayanganj,Bandar,D.C Mills,1411
Narayanganj,Bandar,Madanganj,1414
Narayanganj,Bandar,Nabiganj,1412
Narayanganj,Fatullah,Fatulla Bazar,1421
Narayanganj,Fatullah,Fatullah,1420
Narayanganj,Narayanganj Sadar,Narayanganj Sadar,1400
Narayanganj,Rupganj,Bhulta,1462
Narayanganj,Rupganj,Kanchan,1461
Narayanganj,Rupganj,Murapara,1464
Narayanganj,Rupganj,Nagri,1463
Narayanganj,Rupganj,Rupganj,1460
Narayanganj,Siddirganj,Adamjeenagar,1431
Narayanganj,Siddirganj,LN Mills,1432
Narayanganj,Siddirganj,Siddirganj,1430
Narsingdi,Belabo,Belabo,1640
Narsingdi,Monohordi,Hatirdia,1651
Narsingdi,Monohordi,Katabaria,1652
Narsingdi,Monohordi,Monohordi,1650
Narsingdi,Narsingdi Sadar,Karimpur,1605
Narsingdi,Madhabdi,Madhabdi,1604
Narsingdi,Narsingdi Sadar,Narsingdi College,1602
Narsingdi,Narsingdi Sadar,Narsingdi Sadar,1600
Narsingdi,Narsingdi Sadar,Panchdona,1603
Narsingdi,Narsingdi Sadar,UMC Jute Mills,1601
Narsingdi,Palash,Char Sindhur,1612
Narsingdi,Palash,Ghorashal,1613
Narsingdi,Palash,Sarkarkhana,1611
Narsingdi,Palash,Palash,1610
Narsingdi,Raypura,Bazar Hasnabad,1631
Narsingdi,Raypura,Radhaganj bazar,1632
Narsingdi,Raypura,Raypura,1630
Narsingdi,Shibpur,Shibpur,1620
Rajbari,Baliakandi,Baliakandi,7730
Rajbari,Baliakandi,Nalia,7731
Rajbari,Pangsha,Mrigibazar,7723
Rajbari,Pangsha,Pangsha,7720
Rajbari,Pangsha,Ramkol,7721
Rajbari,Pangsha,Ratandia,7722
Rajbari,Rajbari Sadar,Goalanda,7710
Rajbari,Rajbari Sadar,Khankhanapur,7711
Rajbari,Rajbari Sadar,Rajbari Sadar,7700
Shariatpur,Bhedorganj,Bhedorganj,8030
Shariatpur,Damudhya,Damudhya,8040
Shariatpur,Gosairhat,Gosairhat,8050
Shariatpur,Jajira,Jajira,8010
Shariatpur,Naria,Bhozeshwar,8021
Shariatpur,Naria,Gharisar,8022
Shariatpur,Naria,Kartikpur,8024
Shariatpur,Naria,Naria,8020
Shariatpur,Naria,Upshi,8023
Shariatpur,Shariatpur Sadar,Angaria,8001
Shariatpur,Shariatpur Sadar,Chikandi,8002
Shariatpur,Shariatpur Sadar,Shariatpur Sadar,8000
Tangail,Basail,Basail,1920
Tangail,Bhuapur,Bhuapur,1960
Tangail,Delduar,Delduar,1910
Tangail,Delduar,Elasin,1913
Tangail,Delduar,Hinga Nagar,1914
Tangail,Delduar,Jangalia,1911
Tangail,Delduar,Lowhati,1915
Tangail,Delduar,Patharail,1912
Tangail,Ghatail,D. Pakutia,1982
Tangail,Ghatail,Dhalapara,1983
Tangail,Ghatail,Ghatial,1980
Tangail,Ghatail,Lohani,1984
Tangail,Ghatail,Zahidganj,1981
Tangail,Gopalpur,Gopalpur,1990
Tangail,Gopalpur,Hemnagar,1992
Tangail,Gopalpur,Jhowail,1991
Tangail,Gopalpur,Chatutia,1991
Tangail,Kalihati,Ballabazar,1973
Tangail,Kalihati,Elinga,1974
Tangail,Kalihati,Kalihati,1970
Tangail,Kalihati,Nagarbari,1977
Tangail,Kalihati,Nagarbari SO,1976
Tangail,Kalihati,Nagbari,1972
Tangail,Kalihati,Palisha,1975
Tangail,Kalihati,Rajafair,1971
Tangail,Kashkaolia,Kashkawlia,1930
Tangail,Madhupur,Dhonbari,1997
Tangail,Madhupur,Madhupur,1996
Tangail,Mirzapur,Gorai,1941
Tangail,Mirzapur,Jarmuki,1944
Tangail,Mirzapur,M.C. College,1942
Tangail,Mirzapur,Mirzapur,1940
Tangail,Mirzapur,Mohera,1945
Tangail,Mirzapur,Warri paikpara,1943
Tangail,Nagarpur,Dhuburia,1937
Tangail,Nagarpur,Nagarpur,1936
Tangail,Nagarpur,Salimabad,1938
Tangail,Sakhipur,Kochua,1951
Tangail,Sakhipur,Sakhipur,1950
Tangail,Tangail Sadar,Kagmari,1901
Tangail,Tangail Sadar,Korotia,1903
Tangail,Tangail Sadar,Purabari,1904
Tangail,Tangail Sadar,Santosh,1902
Tangail,Tangail Sadar,Tangail Sadar,1900
