-1,Place Name,Latitude,Longitude,Rating,User_Total_Rating,Types,Address,Place_ID,Compound_Code,Global_Code
66,Imuneyal hospital,22.1971404,92.2200054,4.1,7,"['hospital', 'health', 'point_of_interest', 'establishment']","KSI Road, Bandarban",ChIJcwGboiFqrTARMC3UrFxtVvI,"56WC+V2 Bandarban, Bangladesh",7MJJ56WC+V2
67,Hill View Hospital & Diagnostic Center,22.1956465,92.2189405,3.7,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Mosjid Road, Bandarban",ChIJp6FNYiFqrTAR-Ds7d4_jt7s,"56W9+7H Bandarban, Bangladesh",7MJJ56W9+7H
68,Bandarban diabetic Hospital,22.1901742,92.2185221,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","Z1811, Bandarban",ChIJQUCY1iVqrTARSXuVFcu1UtQ,"56R9+3C Bandarban, Bangladesh",7MJJ56R9+3C
69,Shilpo Elaka Community Clinic,22.5061743,92.2143728,3.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaptai,ChIJ-5XJeVdJrTAR4m2l0U176gc,"G647+FP Kaptai, Bangladesh",7MJJG647+FP
70,MDS Bandarban সামরিক হাসপাতাল,22.2063849,92.2127718,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban,ChIJsdXLuRBqrTARXOr2PPa_RTw,"6647+H4 Bandarban, Bangladesh",7MJJ6647+H4
71,Log Gate Hospital,22.5033788,92.210623,2.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaptai,ChIJYy9n2FtJrTARYRy8pdKF6mQ,"G636+96 Kaptai, Bangladesh",7MJJG636+96
72,Surjer Hashi Clinic,22.2152041,92.2101571,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Rangamati - Bandarban Road, Bandarban",ChIJcdV4pkBrrTARO9prhBop-xA,"6686+33 Bandarban, Bangladesh",7MJJ6686+33
73,Gaurnagar Community Clinic,24.6566923,92.2099166,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha Upazila,ChIJ9TFtDFzHUTcRBKghakReuj0,"M645+MX Musegul, Bangladesh",7MPJM645+MX
74,Kaptai Hospital,22.502882,92.2096601,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kaptai,ChIJ_38G5VtJrTARtHqH2oGnQkM,"G635+5V Kaptai, Bangladesh",7MJJG635+5V
75,Health and Family Welfare Center,24.7504217,92.2090164,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Barlekha Upazila, Muraul barlekha 3250 Bangladesh",ChIJ06ljsybJUTcRqat7F417BZg,"Q625+5J Muraul, Bangladesh",7MPJQ625+5J
76,Small Hospital,21.1027738,92.207976,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","N1, Noapara",ChIJ2_AXXaThrTARykqMXBcBuoE,"4635+45 Noapara, Bangladesh",7MHJ4635+45
77,"Union health and familyplanningcente, bomobilchorry",21.7455081,92.205101,3,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Lama Upazila,ChIJ96m8NHuZrTARJpGGgBP9alU,"P6W4+62 Lama, Bangladesh",7MHJP6W4+62
78,Doingakata CoCmmunity Clinic,21.0556654,92.2039933,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Doingakata, Whykkong",ChIJSz6tuxgLrjARZ0uxCoH6w6I,"3643+7H Dakshin Nhila, Bangladesh",7MHJ3643+7H
79,Rangamati Police Hospital,22.6491447,92.1958705,3,2,"['hospital', 'health', 'point_of_interest', 'establishment']","police hospital road, sador, রাঙামাটি",ChIJP9MjD_e0UjcRzboXg5Qml2k,"J5XW+M8 Rangamati, Bangladesh",7MJJJ5XW+M8
80,Upazila Health Complex Lama,21.7738592,92.1950384,4.5,2,"['hospital', 'health', 'point_of_interest', 'establishment']","লামা উপজেলা, Lama Bus Station",ChIJMUktCryfrTAR3CCsNmAib8M,"Q5FW+G2 Lama, Bangladesh",7MHJQ5FW+G2
81,Islampur Community Hospital Clinic,22.342577,92.194166,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Bandarban Sadar Upazila,ChIJyeQbkEZHrTARnqfOZY-3g08,"85VV+2M Udalbania, Bangladesh",7MJJ85VV+2M
82,Shofirunnesa Memorial Hospital Trust,24.7042672,92.1937475,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJd0yndcvJUTcRXuHiQKKi73I,"P53V+PF Barlekha, Bangladesh",7MPJP53V+PF
83,Veteranary Hospital,22.6401268,92.1934919,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Unnamed Road,ChIJ-YrMT-W0UjcRZmZiy7xOf50,"J5RV+39 Rangamati, Bangladesh",7MJJJ5RV+39
84,Samanbhag Central Hospital,24.6255056,92.1921992,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJY_AFDd3GUTcRNyVJrMWZr2s,"J5GR+6V Kalajura, Bangladesh",7MPJJ5GR+6V
85,The New Samanbhag Hospital,24.6254184,92.1921919,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJz-KwDd3GUTcR277cobN1Tr8,"J5GR+5V Kalajura, Bangladesh",7MPJJ5GR+5V
86,Patharia Hospital,24.6254504,92.1921869,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJp-quDd3GUTcRoaIYXRvXA5o,"J5GR+5V Kalajura, Bangladesh",7MPJJ5GR+5V
87,Rangamati Diabetic Hospital,22.6433588,92.1915488,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Rangamati,ChIJM3SCAfu0UjcRLGYpQAAXIqI,"J5VR+8J Rangamati, Bangladesh",7MJJJ5VR+8J
88,Baghaichhari Upazila Health Complex,23.1635866,92.1878457,4.5,6,"['hospital', 'health', 'point_of_interest', 'establishment']",Dighinala - Baghaichhari Road,ChIJ1bvePmOSUjcRrPJTVu9QDnQ,"557Q+C4 Baghaichhari, Bangladesh",7MMJ557Q+C4
89,No. 5 baracatula Union Health Complex,25.0525182,92.1876261,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJtezAFgs3UDcRqqJGQqval7w,"353Q+23 Madani Nagor, Bangladesh",7MQJ353Q+23
90,Union health complex.,25.0523667,92.1876097,4,1,"['hospital', 'health', 'point_of_interest', 'establishment']","Komotiol Chatul road,, কানাইঘাট",ChIJSRg8EQs3UDcR_hs-M4Bk234,"352Q+W2 Madani Nagor, Bangladesh",7MQJ352Q+W2
91,5No Borchotul Health Complex,25.0525578,92.1875932,5,1,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJ150VQec3UDcRQsdwW2tE4dc,"353Q+22 Madani Nagor, Bangladesh",7MQJ353Q+22
92,Lawta Union Health and Family Planning Center,24.8605953,92.1873012,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kakordhia,ChIJ928utQ3LUTcRHotk6uti9qc,"V56P+6W Kakordhia, Bangladesh",7MPJV56P+6W
93,Baralekha Sadar Hospital,24.694243,92.1849663,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJxbzdOSvGUTcRXBGd4e3Lg_c,"M5VM+MX Barlekha, Bangladesh",7MPJM5VM+MX
94,Barlekha Upazila Health Complex,24.6937111,92.1849536,4,9,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha,ChIJA0ocRivGUTcRd3UUOprysLo,"M5VM+FX Barlekha, Bangladesh",7MPJM5VM+FX
95,Barlekha City Clinik বড়লেখা সিটি ক্লিনিক,24.6912233,92.1833114,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Barlekha Upazila,ChIJdTDtdhbHUTcR6xS5L4yzbDY,"M5RM+F8 Barlekha, Bangladesh",7MPJM5RM+F8
96,Sona Rupa Tea Estate Hospital,24.6017736,92.1817216,5,2,"['hospital', 'health', 'point_of_interest', 'establishment']",Juri,ChIJiQqe4dTAUTcRHBkTiqcwawA,"J52J+PM Sonarupa, Bangladesh",7MPJJ52J+PM
97,Ghungadia Community Clinic,24.8358215,92.1760108,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']","Ghungagia, Kazir Bazar Road, Beanibazar",ChIJ5aqW0qvLUTcRKLoWDEK0XS8,"R5PG+8C Borodesh, Bangladesh",7MPJR5PG+8C
98,Naikyachara Community Clinic,22.3871659,92.1756225,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Rajasthali Upazila,ChIJyXn8E5tHrTARAEMljzTamGw,"95PG+V6 Bangalhalia, Bangladesh",7MJJ95PG+V6
99,"Upazilla Health Complex, Naikhanchari",21.4283973,92.1741556,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Naikhongchari,ChIJi3oagu_qrTARrJ7yJC9FuvQ,"C5HF+9M Naikhongchari, Bangladesh",7MHJC5HF+9M
100,Banigram Govt. Community Clinic,24.9393316,92.1736137,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Kanaighat Upazila,ChIJ86V9XOc1UDcR8q5K5vvu0O8,"W5QF+PC Barohal Union, Bangladesh",7MPJW5QF+PC
101,Naikhongchari Upazilla Hospital,21.4277032,92.1733158,5,3,"['hospital', 'health', 'point_of_interest', 'establishment']",Naikhongchari,ChIJWTD3l-_qrTARwINR42QIoAo,"C5HF+38 Naikhongchari, Bangladesh",7MHJC5HF+38
102,Alliance Hospital Rangamati,22.6580573,92.1730952,5,4,"['hospital', 'health', 'point_of_interest', 'establishment']",Rangamati,ChIJMVStx8i1UjcRWV1ZgY1R6ec,"M55F+66 Rangamati, Bangladesh",7MJJM55F+66
103,Lake Site Hospital,22.6590014,92.1717374,4.3,3,"['hospital', 'health', 'point_of_interest', 'establishment']","North Kalindipur,, North 106, Rangamati",ChIJ-VCzK6S1UjcRkw9kT62HtCU,"M55C+JM Rangamati, Bangladesh",7MJJM55C+JM
104,Jaldhup community clinic ( জলঢুপ কমিউনিটি ক্লিনিক),24.7839886,92.1696288,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Beanibazar Upazila,ChIJF51pakzJUTcRFfo-lA58MvQ,"Q5M9+HV Mollahpur Union, Bangladesh",7MPJQ5M9+HV
105,"Humanity First Bangladesh, Primari Health Care Center",21.2288986,92.1695855,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Ukhia,ChIJq6qqqqbnrTARIyUuacsAw3U,"65H9+HR Ukhia, Bangladesh",7MHJ65H9+HR
106,Rangamati District Hospital,22.6580176,92.1685566,not found,not found,"['hospital', 'health', 'point_of_interest', 'establishment']",Rangamati,ChIJU0qpQ6G1UjcRcTD5SOboz-Q,"M559+6C Rangamati, Bangladesh",7MJJM559+6C
